,Date,a,ticket
670,2015-04-08,-0.3182,GOOGL
671,2015-04-08,-0.3182,GOOGL
672,2015-04-08,-0.3182,GOOGL
673,2015-04-06,0.4019,GOOGL
674,2015-04-06,0.4019,GOOGL
675,2015-04-06,0.0258,GOOGL
676,2015-04-06,0.0258,GOOGL
677,2015-04-06,-0.7351,GOOGL
678,2015-04-04,-0.7351,GOOGL
679,2015-04-03,0.5994,GOOGL
680,2015-04-03,0.5994,GOOGL
681,2015-04-02,-0.4767,GOOGL
682,2015-04-02,-0.4767,GOOGL
683,2015-04-02,-0.4767,GOOGL
684,2015-04-02,0.6369,GOOGL
685,2015-03-30,0.32299999999999995,GOOGL
686,2015-03-27,0.0,GOOGL
687,2015-03-27,-0.128,GOOGL
688,2015-03-27,-0.3182,GOOGL
689,2015-03-27,0.7906,GOOGL
690,2015-03-26,-0.128,GOOGL
691,2015-03-26,0.7003,GOOGL
