Date,a,ticket
2015-04-06,-0.7351,GOOGL
2015-04-04,-0.7351,GOOGL
2015-04-03,0.5994,GOOGL
2015-04-03,0.5994,GOOGL
2015-04-02,-0.4767,GOOGL
2015-04-02,-0.4767,GOOGL
2015-04-02,-0.4767,GOOGL
2015-04-02,0.6369,GOOGL
2015-03-30,0.323,GOOGL
2015-03-27,0,GOOGL
2015-03-27,-0.128,GOOGL
2015-03-27,-0.3182,GOOGL
2015-03-27,0.7906,GOOGL
2015-03-26,-0.128,GOOGL
2015-03-26,0.7003,GOOGL
2015-03-25,-0.3818,GOOGL
2015-03-25,-0.3818,GOOGL
2015-03-25,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0,GOOGL
2015-03-24,0.6808,GOOGL
2015-03-24,0.6808,GOOGL
2015-03-24,0.5859,GOOGL
2015-03-24,0.5859,GOOGL
2015-03-20,-0.5936,GOOGL
2015-03-20,0.2023,GOOGL
2015-03-19,0,GOOGL
2015-03-19,0.2732,GOOGL
2015-03-17,0.8481,GOOGL
2015-03-17,0.8481,GOOGL
2015-03-17,-0.4767,GOOGL
2015-03-17,-0.4767,GOOGL
2015-03-17,0.8481,GOOGL
2015-03-17,0.2023,GOOGL
2015-03-17,0.8316,GOOGL
2015-03-17,0.8316,GOOGL
2015-03-13,0.4939,GOOGL
2015-03-13,0.4939,GOOGL
2015-03-12,0.4019,GOOGL
2015-03-12,0.4019,GOOGL
2015-03-11,0,GOOGL
2015-03-11,0,GOOGL
2015-03-11,-0.4767,GOOGL
2015-03-10,-0.4767,GOOGL
2015-03-10,0,GOOGL
2015-03-10,0,GOOGL
2015-03-09,0,GOOGL
2015-03-09,0,GOOGL
2015-03-07,0,GOOGL
2015-03-07,0,GOOGL
2015-03-06,0.34,GOOGL
2015-03-06,0.34,GOOGL
2015-03-06,0,GOOGL
2015-03-04,0.6124,GOOGL
2015-03-04,0,GOOGL
2015-03-04,0,GOOGL
2015-03-03,-0.2263,GOOGL
2015-03-03,-0.2263,GOOGL
2015-03-03,0.34,GOOGL
2015-03-03,0.3818,GOOGL
2015-03-03,-0.4404,GOOGL
2015-03-03,-0.4404,GOOGL
2015-03-02,-0.0772,GOOGL
2015-03-02,-0.0772,GOOGL
2015-03-02,-0.0772,GOOGL
2015-03-02,-0.7096,GOOGL
2015-03-02,-0.7096,GOOGL
2015-03-02,0,GOOGL
2015-03-02,0.0258,GOOGL
2015-03-02,-0.5994,GOOGL
2015-03-02,-0.5994,GOOGL
2015-03-02,-0.5994,GOOGL
2015-02-27,0,GOOGL
2015-02-26,0.25,GOOGL
2015-02-26,0.5106,GOOGL
2015-02-26,0.25,GOOGL
2015-02-26,0.25,GOOGL
2015-02-26,0.25,GOOGL
2015-02-26,0.2023,GOOGL
2015-02-26,0,GOOGL
2015-02-26,0,GOOGL
2015-02-25,0.0772,GOOGL
2015-02-25,0.6124,GOOGL
2015-02-25,0.34,GOOGL
2015-02-25,-0.5267,GOOGL
2015-02-25,0,GOOGL
2015-02-24,-0.6705,GOOGL
2015-02-24,-0.6705,GOOGL
2015-02-24,-0.6705,GOOGL
2015-02-24,0.4215,GOOGL
2015-02-24,0.4215,GOOGL
2015-02-24,0.4215,GOOGL
2015-02-24,0.2023,GOOGL
2015-02-23,0,GOOGL
2015-02-23,0,GOOGL
2015-02-20,-0.7351,GOOGL
2015-02-20,-0.7351,GOOGL
2015-02-20,-0.7351,GOOGL
2015-02-20,0.2732,GOOGL
2015-02-20,0,GOOGL
2015-02-20,0,GOOGL
2015-02-20,-0.0772,GOOGL
2015-02-20,-0.0772,GOOGL
2015-02-20,-0.0772,GOOGL
2015-02-19,0,GOOGL
2015-02-18,0,GOOGL
2015-02-18,0,GOOGL
2015-02-17,0,GOOGL
2015-02-17,0,GOOGL
2015-02-10,0,GOOGL
2015-02-10,0,GOOGL
2015-02-09,0.228,GOOGL
2015-02-06,0.3818,GOOGL
2015-02-06,0.3818,GOOGL
2015-02-06,0.0258,GOOGL
2015-02-06,0.0258,GOOGL
2015-02-06,0,GOOGL
